:ID,:LABEL,entity_type,canonical_name,normalized_name,aliases,source_types,source_records:int,properties_json
Disease::churgstrauss综合征,Disease,Disease,Churg-Strauss综合征,churgstrauss综合征,Churg-Strauss综合征,structured,2,{}
Disease::crohn's病,Disease,Disease,Crohn's病,crohn's病,Crohn's病,pdf,1,{}
Disease::dubinjohnson综合征,Disease,Disease,Dubin-Johnson综合征,dubinjohnson综合征,Dubin-Johnson综合征,structured,1,{}
Disease::eb病毒感染,Disease,Disease,EB病毒感染,eb病毒感染,EB病毒感染,pdf,1,{}
Disease::gist,Disease,Disease,GIST,gist,GIST|胃肠道间质瘤,structured,1,{}
Disease::gilbert综合征,Disease,Disease,Gilbert综合征,gilbert综合征,Gilbert疾病|Gilbert综合征,unstructured,1,{}
Disease::graves病,Disease,Disease,Graves病,graves病,Graves病|毒性弥漫性甲状腺肿,pdf|structured,3,{}
Disease::hbv感染,Disease,Disease,HBV感染,hbv感染,HBV感染,pdf,1,{}
Disease::her2阳性乳腺癌,Disease,Disease,HER2阳性乳腺癌,her2阳性乳腺癌,HER2阳性乳腺癌,pdf,1,{}
Disease::hiv,Disease,Disease,HIV,hiv,HIV|人类免疫缺陷病毒（xxx）,pdf|structured|unstructured,6,{}
Disease::hiv1感染,Disease,Disease,HIV-1感染,hiv1感染,HIV-1感染,structured|unstructured,4,{}
Disease::hivhcv合并感染,Disease,Disease,HIV/HCV合并感染,hivhcv合并感染,HIV/HCV合并感染,pdf,1,{}
Disease::hiv感染,Disease,Disease,HIV感染,hiv感染,HIV感染|I型HIV感染|人类免疫缺陷病毒（HIV）感染,structured|unstructured,9,{}
Disease::hiv感染艾滋病,Disease,Disease,HIV感染/艾滋病,hiv感染艾滋病,HIV感染/艾滋病,pdf,1,{}
Disease::hpv感染,Disease,Disease,HPV感染,hpv感染,HPV感染,structured,1,{}
Disease::hrr突变,Disease,Disease,HRR突变,hrr突变,HRR突变|同源重组修复基因突变,unstructured,2,{}
Disease::hrr突变相关肿瘤,Disease,Disease,HRR突变相关肿瘤,hrr突变相关肿瘤,HRR突变相关肿瘤|同源重组修复基因突变相关肿瘤,unstructured,1,{}
Disease::hp感染性消化道溃疡,Disease,Disease,Hp感染性消化道溃疡,hp感染性消化道溃疡,Hp感染性消化道溃疡,pdf,1,{}
Disease::iib型高脂血症,Disease,Disease,IIb型高脂血症,iib型高脂血症,IIb型高脂血症,pdf,2,{}
Disease::ii度烧伤,Disease,Disease,II度烧伤,ii度烧伤,II度烧伤,structured,1,{}
Disease::ii或iii度房室传导阻滞,Disease,Disease,II或III度房室传导阻滞,ii或iii度房室传导阻滞,II或III度房室传导阻滞,structured,1,{}
Disease::iga血管炎,Disease,Disease,IgA血管炎,iga血管炎,IgA血管炎,unstructured,3,{}
Disease::i型hiv感染,Disease,Disease,I型HIV感染,i型hiv感染,I型HIV感染,structured,1,{}
Disease::i型戈谢病,Disease,Disease,I型戈谢病,i型戈谢病,I型戈谢病,pdf,1,{}
Disease::i度烧伤,Disease,Disease,I度烧伤,i度烧伤,I度烧伤,structured,1,{}
Disease::mdrtb,Disease,Disease,MDR-TB,mdrtb,MDR-TB,unstructured,1,{}
Disease::pad,Disease,Disease,PAD,pad,PAD,unstructured,1,{}
Disease::pe,Disease,Disease,PE,pe,PE,unstructured,1,{}
Disease::paget氏骨病,Disease,Disease,Paget氏骨病,paget氏骨病,Paget氏骨病,structured,1,{}
Disease::ph+cml加速期,Disease,Disease,Ph+ CML加速期,ph+cml加速期,Ph+ CML加速期|费城染色体阳性的慢性髓性白血病加速期,structured,1,{}
Disease::ph+cml慢性期,Disease,Disease,Ph+ CML慢性期,ph+cml慢性期,Ph+ CML慢性期|费城染色体阳性的慢性髓性白血病慢性期,structured,1,{}
Disease::qt间期延长伴tdp,Disease,Disease,QT间期延长伴TdP,qt间期延长伴tdp,QT间期延长伴TdP,pdf,1,{}
Disease::qt间期延长综合征,Disease,Disease,QT间期延长综合征,qt间期延长综合征,Q-T间期延长综合征|QT间期延长综合征,pdf,1,{}
Disease::reye氏症,Disease,Disease,Reye氏症,reye氏症,Reye氏症,pdf,1,{}
Disease::rotor综合征,Disease,Disease,Rotor综合征,rotor综合征,Rotor综合征,structured,1,{}
Disease::sle,Disease,Disease,SLE,sle,SLE,pdf,1,{}
Disease::stemi,Disease,Disease,STEMI,stemi,STEMI,unstructured,1,{}
Disease::st段抬高型心肌梗死,Disease,Disease,ST段抬高型心肌梗死,st段抬高型心肌梗死,STEMI|ST段抬高型心肌梗死,pdf|unstructured,3,{}
Disease::st段抬高心肌梗死,Disease,Disease,ST段抬高心肌梗死,st段抬高心肌梗死,ST段抬高心肌梗死,structured,1,{}
Disease::st段抬高性急性冠脉综合征,Disease,Disease,ST段抬高性急性冠脉综合征,st段抬高性急性冠脉综合征,ST段抬高性急性冠脉综合征,structured,2,{}
Disease::still病,Disease,Disease,Still病,still病,Still病,structured,2,{}
Disease::tia,Disease,Disease,TIA,tia,TIA,unstructured,1,{}
Disease::t细胞缺陷病,Disease,Disease,T细胞缺陷病,t细胞缺陷病,T细胞缺陷病,structured,1,{}
Disease::vip瘤,Disease,Disease,VIP瘤,vip瘤,VIP瘤,structured,2,{}
Disease::west综合征,Disease,Disease,West综合征,west综合征,West综合征,structured,1,{}
Disease::x联锁低免疫球蛋白血症,Disease,Disease,X联锁低免疫球蛋白血症,x联锁低免疫球蛋白血症,X联锁低免疫球蛋白血症,structured,2,{}
Disease::zollingerellison综合症,Disease,Disease,Zollinger-Ellison综合症,zollingerellison综合症,Zollinger-Ellison综合症,structured,2,{}
Disease::diabetes,Disease,Disease,diabetes,diabetes,diabetes,unstructured,1,{}
Disease::β胡萝卜素不足,Disease,Disease,β-胡萝卜素不足,β胡萝卜素不足,β-胡萝卜素不足,structured,1,{}
Disease::β胡萝卜素不足缺乏症或需求增加,Disease,Disease,β-胡萝卜素不足、缺乏症或需求增加,β胡萝卜素不足缺乏症或需求增加,β-胡萝卜素不足、缺乏症或需求增加,structured,1,{}
Disease::β胡萝卜素缺乏症,Disease,Disease,β-胡萝卜素缺乏症,β胡萝卜素缺乏症,β-胡萝卜素缺乏症,structured,1,{}
Disease::β胡萝卜素需求增加,Disease,Disease,β-胡萝卜素需求增加,β胡萝卜素需求增加,β-胡萝卜素需求增加,structured,1,{}
Disease::ⅱa型高脂血症,Disease,Disease,Ⅱa型高脂血症,ⅱa型高脂血症,Ⅱa型高脂血症,structured,1,{}
Disease::ⅱb型高脂血症,Disease,Disease,Ⅱb型高脂血症,ⅱb型高脂血症,Ⅱb型高脂血症,structured,1,{}
Disease::ⅱ型呼吸衰竭,Disease,Disease,Ⅱ型呼吸衰竭,ⅱ型呼吸衰竭,Ⅱ型呼吸衰竭,pdf,1,{}
Disease::丁型肝炎,Disease,Disease,丁型肝炎,丁型肝炎,丁型肝炎,structured,2,{}
Disease::三叉神经痛,Disease,Disease,三叉神经痛,三叉神经痛,三叉神经痛,pdf|unstructured,4,{}
Disease::三高症,Disease,Disease,三高症,三高症,三高症,unstructured,2,{}
Disease::上下呼吸道感染,Disease,Disease,上下呼吸道感染,上下呼吸道感染,上下呼吸道感染,structured,1,{}
Disease::上呼吸道感染,Disease,Disease,上呼吸道感染,上呼吸道感染,上呼吸道感染,pdf|structured,31,{}
Disease::上呼吸道过敏,Disease,Disease,上呼吸道过敏,上呼吸道过敏,上呼吸道过敏,structured,1,{}
Disease::上泌尿道感染,Disease,Disease,上泌尿道感染,上泌尿道感染,上泌尿道感染,structured,2,{}
Disease::上消化道出血,Disease,Disease,上消化道出血,上消化道出血,上消化道出血,pdf|structured,5,{}
Disease::上皮性卵巢癌,Disease,Disease,上皮性卵巢癌,上皮性卵巢癌,上皮性卵巢癌,unstructured,5,{}
Disease::上皮来源晚期卵巢癌,Disease,Disease,上皮来源晚期卵巢癌,上皮来源晚期卵巢癌,上皮来源晚期卵巢癌,structured,1,{}
Disease::上髁炎,Disease,Disease,上髁炎,上髁炎,上髁炎,structured,1,{}
Disease::下呼吸系统感染,Disease,Disease,下呼吸系统感染,下呼吸系统感染,下呼吸系统感染,structured,1,{}
Disease::下呼吸道感染,Disease,Disease,下呼吸道感染,下呼吸道感染,下呼吸道感染,pdf|structured,27,{}
Disease::下泌尿道感染,Disease,Disease,下泌尿道感染,下泌尿道感染,下泌尿道感染,structured,2,{}
Disease::下肢动脉粥样硬化,Disease,Disease,下肢动脉粥样硬化,下肢动脉粥样硬化,下肢动脉粥样硬化,pdf,1,{}
Disease::下肢深静脉血栓,Disease,Disease,下肢深静脉血栓,下肢深静脉血栓,下肢深静脉血栓,pdf,2,{}
Disease::下肢重大骨科手术,Disease,Disease,下肢重大骨科手术,下肢重大骨科手术,下肢重大骨科手术,structured,1,{}
Disease::下腰疼痛,Disease,Disease,下腰疼痛,下腰疼痛,下腰疼痛,structured,1,{}
Disease::不动杆菌属感染,Disease,Disease,不动杆菌属感染,不动杆菌属感染,不动杆菌属感染,structured,3,{}
Disease::不孕症,Disease,Disease,不孕症,不孕症,不孕症,structured,1,{}
Disease::不稳定型心绞痛,Disease,Disease,不稳定型心绞痛,不稳定型心绞痛,不稳定型心绞痛,pdf|structured,6,{}
Disease::不稳定性心绞痛,Disease,Disease,不稳定性心绞痛,不稳定性心绞痛,不稳定性心绞痛,structured|unstructured,7,{}
Disease::不稳定性心绞痛所致的左心衰竭,Disease,Disease,不稳定性心绞痛所致的左心衰竭,不稳定性心绞痛所致的左心衰竭,不稳定性心绞痛所致的左心衰竭,structured,1,{}
Disease::不育症,Disease,Disease,不育症,不育症,不育症,structured,1,{}
Disease::与关节和脊柱的退行性疾病有关的疼痛,Disease,Disease,与关节和脊柱的退行性疾病有关的疼痛,与关节和脊柱的退行性疾病有关的疼痛,与关节和脊柱的退行性疾病有关的疼痛,structured,1,{}
Disease::丙型肝炎,Disease,Disease,丙型肝炎,丙型肝炎,丙型肝炎|丙肝,pdf|structured|unstructured,37,{}
Disease::丙肝,Disease,Disease,丙肝,丙肝,丙肝,unstructured,1,{}
Disease::严重内脏疾病,Disease,Disease,严重内脏疾病,严重内脏疾病,严重内脏疾病,structured,1,{}
Disease::严重冠状动脉阻塞性疾病,Disease,Disease,严重冠状动脉阻塞性疾病,严重冠状动脉阻塞性疾病,严重冠状动脉阻塞性疾病,structured,1,{}
Disease::严重循环系统机能障碍,Disease,Disease,严重循环系统机能障碍,严重循环系统机能障碍,严重循环系统机能障碍,pdf,1,{}
Disease::严重意识障碍,Disease,Disease,严重意识障碍,严重意识障碍,严重意识障碍,unstructured,1,{}
Disease::严重支气管哮喘,Disease,Disease,严重支气管哮喘,严重支气管哮喘,严重支气管哮喘,structured,7,{}
Disease::严重溃疡,Disease,Disease,严重溃疡,严重溃疡,严重溃疡,structured,1,{}
Disease::严重溃疡病,Disease,Disease,严重溃疡病,严重溃疡病,严重溃疡病,structured,1,{}
Disease::严重的器质性心脏病变,Disease,Disease,严重的器质性心脏病变,严重的器质性心脏病变,严重的器质性心脏病变,structured,1,{}
Disease::严重的支气管哮喘,Disease,Disease,严重的支气管哮喘,严重的支气管哮喘,严重的支气管哮喘,structured,1,{}
Disease::严重皮炎,Disease,Disease,严重皮炎,严重皮炎,严重皮炎,structured,4,{}
Disease::严重皮肤软组织感染,Disease,Disease,严重皮肤软组织感染,严重皮肤软组织感染,严重皮肤软组织感染,structured,1,{}
Disease::严重窦房结功能异常,Disease,Disease,严重窦房结功能异常,严重窦房结功能异常,严重窦房结功能异常,structured,1,{}
Disease::严重糖尿病,Disease,Disease,严重糖尿病,严重糖尿病,严重糖尿病,pdf|unstructured,3,{}
Disease::严重肝功能障碍,Disease,Disease,严重肝功能障碍,严重肝功能障碍,严重肝功能障碍,structured,1,{}
Disease::严重肝病,Disease,Disease,严重肝病,严重肝病,严重肝病,structured,1,{}
Disease::严重肝病出血,Disease,Disease,严重肝病出血,严重肝病出血,严重肝病出血,structured,4,{}
Disease::严重肝脏疾病,Disease,Disease,严重肝脏疾病,严重肝脏疾病,严重肝脏疾病,pdf,1,{}
Disease::严重肺部感染,Disease,Disease,严重肺部感染,严重肺部感染,严重肺部感染,pdf,1,{}
Disease::严重肾功能障碍,Disease,Disease,严重肾功能障碍,严重肾功能障碍,严重肾功能障碍,structured,1,{}
Disease::严重肾病,Disease,Disease,严重肾病,严重肾病,严重肾病,unstructured,1,{}
Disease::严重肾脏病,Disease,Disease,严重肾脏病,严重肾脏病,严重肾脏病,pdf,1,{}
Disease::严重脑动脉硬化,Disease,Disease,严重脑动脉硬化,严重脑动脉硬化,严重脑动脉硬化,pdf,1,{}
Disease::严重贫血,Disease,Disease,严重贫血,严重贫血,严重贫血,pdf,3,{}
Disease::严重酸中毒,Disease,Disease,严重酸中毒,严重酸中毒,严重酸中毒,unstructured,1,{}
Disease::中重度与绝经相关的血管舒缩症状,Disease,Disease,中-重度与绝经相关的血管舒缩症状,中重度与绝经相关的血管舒缩症状,中-重度与绝经相关的血管舒缩症状,structured,1,{}
Disease::中东呼吸综合征,Disease,Disease,中东呼吸综合征,中东呼吸综合征,中东呼吸综合征,pdf,1,{}
Disease::中度到重度慢性疼痛,Disease,Disease,中度到重度慢性疼痛,中度到重度慢性疼痛,中度到重度慢性疼痛,structured,1,{}
Disease::中度抑郁,Disease,Disease,中度抑郁,中度抑郁,中度抑郁,pdf,1,{}
Disease::中度疼痛,Disease,Disease,中度疼痛,中度疼痛,中度疼痛,structured,2,{}
Disease::中度癌痛,Disease,Disease,中度癌痛,中度癌痛,中度癌痛,structured,1,{}
Disease::中度至重度疼痛,Disease,Disease,中度至重度疼痛,中度至重度疼痛,中度至重度疼痛,structured,1,{}
Disease::中心性视网膜炎,Disease,Disease,中心性视网膜炎,中心性视网膜炎,中心性视网膜炎,structured,2,{}
Disease::中枢性呼吸及循环功能不全,Disease,Disease,中枢性呼吸及循环功能不全,中枢性呼吸及循环功能不全,中枢性呼吸及循环功能不全,structured,1,{}
Disease::中枢性肌强直,Disease,Disease,中枢性肌强直,中枢性肌强直,中枢性肌强直,structured,2,{}
Disease::中枢神经系统恶性肿瘤,Disease,Disease,中枢神经系统恶性肿瘤,中枢神经系统恶性肿瘤,中枢神经系统恶性肿瘤,structured,1,{}
Disease::中枢神经系统感染,Disease,Disease,中枢神经系统感染,中枢神经系统感染,中枢神经系统感染,structured,1,{}
Disease::中枢神经系统曲霉菌感染,Disease,Disease,中枢神经系统曲霉菌感染,中枢神经系统曲霉菌感染,中枢神经系统曲霉菌感染,pdf,1,{}
Disease::中枢神经系统疾病,Disease,Disease,中枢神经系统疾病,中枢神经系统疾病,中枢神经系统疾病,pdf|unstructured,3,{}
Disease::中枢神经系统白血病,Disease,Disease,中枢神经系统白血病,中枢神经系统白血病,中枢神经系统白血病,pdf,1,{}
Disease::中枢神经系统的白血病浸润,Disease,Disease,中枢神经系统的白血病浸润,中枢神经系统的白血病浸润,中枢神经系统的白血病浸润,structured,1,{}
Disease::中毒性感染,Disease,Disease,中毒性感染,中毒性感染,中毒性感染,structured,1,{}
Disease::中毒性肝损伤,Disease,Disease,中毒性肝损伤,中毒性肝损伤,中毒性肝损伤,structured,1,{}
Disease::中毒性脑病,Disease,Disease,中毒性脑病,中毒性脑病,中毒性脑病,pdf|structured,3,{}
Disease::中耳炎,Disease,Disease,中耳炎,中耳炎,中耳炎|敏感菌所致的中耳炎,structured,27,{}
Disease::中重度二尖瓣狭窄,Disease,Disease,中重度二尖瓣狭窄,中重度二尖瓣狭窄,中重度二尖瓣狭窄,unstructured,1,{}
Disease::中重度心衰,Disease,Disease,中重度心衰,中重度心衰,中重度心衰,unstructured,1,{}
Disease::中重度非癌性慢性疼痛,Disease,Disease,中重度非癌性慢性疼痛,中重度非癌性慢性疼痛,中重度非癌性慢性疼痛,pdf,1,{}
Disease::中风,Disease,Disease,中风,中风,中风,pdf|structured|unstructured,7,{}
Disease::中风后遗症,Disease,Disease,中风后遗症,中风后遗症,中风后遗症,structured,2,{}
Disease::临床孤立综合征,Disease,Disease,临床孤立综合征,临床孤立综合征,临床孤立综合征,pdf,1,{}
Disease::丹毒,Disease,Disease,丹毒,丹毒,丹毒,structured,4,{}
Disease::主动脉夹层,Disease,Disease,主动脉夹层,主动脉夹层,主动脉夹层,structured|unstructured,4,{}
Disease::主动脉狭窄,Disease,Disease,主动脉狭窄,主动脉狭窄,主动脉狭窄,structured,1,{}
Disease::主动脉瓣关闭不全,Disease,Disease,主动脉瓣关闭不全,主动脉瓣关闭不全,主动脉瓣关闭不全,pdf,1,{}
Disease::主动脉瓣狭窄,Disease,Disease,主动脉瓣狭窄,主动脉瓣狭窄,主动脉瓣狭窄,pdf,1,{}
Disease::主动脉疾病,Disease,Disease,主动脉疾病,主动脉疾病,主动脉疾病,structured,2,{}
Disease::久不受孕,Disease,Disease,久不受孕,久不受孕,久不受孕,structured,1,{}
Disease::久病咳喘,Disease,Disease,久病咳喘,久病咳喘,久病咳喘,structured,1,{}
Disease::久痹体虚,Disease,Disease,久痹体虚,久痹体虚,久痹体虚,structured,1,{}
Disease::乙型流感,Disease,Disease,乙型流感,乙型流感,乙型流感,structured,3,{}
Disease::乙型溶血性链球菌感染,Disease,Disease,乙型溶血性链球菌感染,乙型溶血性链球菌感染,乙型溶血性链球菌感染,structured,1,{}
Disease::乙型肝炎,Disease,Disease,乙型肝炎,乙型肝炎,乙型肝炎|乙肝,structured|unstructured,4,{}
Disease::乙型肝炎病毒感染,Disease,Disease,乙型肝炎病毒感染,乙型肝炎病毒感染,乙型肝炎病毒感染,pdf,1,{}
Disease::乙肝,Disease,Disease,乙肝,乙肝,乙肝,pdf|structured|unstructured,4,{}
Disease::乙肝后肝硬化失代偿期,Disease,Disease,乙肝后肝硬化失代偿期,乙肝后肝硬化失代偿期,乙肝后肝硬化失代偿期,pdf,2,{}
Disease::乙肝病毒再激活,Disease,Disease,乙肝病毒再激活,乙肝病毒再激活,乙肝病毒再激活,unstructured,1,{}
Disease::习惯性流产,Disease,Disease,习惯性流产,习惯性流产,习惯性流产,structured,3,{}
Disease::乳汁瘀积,Disease,Disease,乳汁瘀积,乳汁瘀积,乳汁瘀积,structured,1,{}
Disease::乳癌,Disease,Disease,乳癌,乳癌,乳癌,structured,1,{}
Disease::乳腺增生症,Disease,Disease,乳腺增生症,乳腺增生症,乳腺增生症,structured,1,{}
Disease::乳腺炎,Disease,Disease,乳腺炎,乳腺炎,乳腺炎,structured|unstructured,10,{}
Disease::乳腺癌,Disease,Disease,乳腺癌,乳腺癌,乳腺癌|女性晚期乳腺癌,pdf|structured|unstructured,37,{}
Disease::乳腺癌骨转移,Disease,Disease,乳腺癌骨转移,乳腺癌骨转移,乳腺癌骨转移,structured,1,{}
Disease::乳蛾,Disease,Disease,乳蛾,乳蛾,乳蛾,structured,1,{}
Disease::乳酸酸中毒,Disease,Disease,乳酸酸中毒,乳酸酸中毒,乳酸酸中毒,pdf|structured|unstructured,3,{}
Disease::二型糖尿病,Disease,Disease,二型糖尿病,二型糖尿病,二型糖尿病,pdf,1,{}
Disease::二尖瓣狭窄,Disease,Disease,二尖瓣狭窄,二尖瓣狭窄,二尖瓣狭窄,pdf|unstructured,2,{}
Disease::二尖瓣置换术后,Disease,Disease,二尖瓣置换术后,二尖瓣置换术后,二尖瓣置换术后,pdf,1,{}
Disease::二次肿瘤,Disease,Disease,二次肿瘤,二次肿瘤,二次肿瘤,structured,1,{}
Disease::二线脱瘾,Disease,Disease,二线脱瘾,二线脱瘾,二线脱瘾,structured,1,{}
Disease::五官感染,Disease,Disease,五官感染,五官感染,五官感染,structured,1,{}
Disease::五官科感染,Disease,Disease,五官科感染,五官科感染,五官科感染,pdf,1,{}
Disease::亚临床性帕金森病,Disease,Disease,亚临床性帕金森病,亚临床性帕金森病,亚临床性帕金森病,pdf,1,{}
Disease::亚临床甲减,Disease,Disease,亚临床甲减,亚临床甲减,亚临床甲减,pdf,1,{}
Disease::亚急性感染性心内膜炎,Disease,Disease,亚急性感染性心内膜炎,亚急性感染性心内膜炎,亚急性感染性心内膜炎,unstructured,1,{}
Disease::亚急性皮肤红斑狼疮,Disease,Disease,亚急性皮肤红斑狼疮,亚急性皮肤红斑狼疮,亚急性皮肤红斑狼疮,pdf,1,{}
Disease::亚急性联合变性神经系统病变,Disease,Disease,亚急性联合变性神经系统病变,亚急性联合变性神经系统病变,亚急性联合变性神经系统病变,structured,1,{}
Disease::产后乳汁排出困难,Disease,Disease,产后乳汁排出困难,产后乳汁排出困难,产后乳汁排出困难,structured,1,{}
Disease::产后出血,Disease,Disease,产后出血,产后出血,产后出血,structured,3,{}
Disease::产后子宫内膜炎,Disease,Disease,产后子宫内膜炎,产后子宫内膜炎,产后子宫内膜炎,structured,1,{}
Disease::产后血瘀腹痛,Disease,Disease,产后血瘀腹痛,产后血瘀腹痛,产后血瘀腹痛,structured,1,{}
Disease::产科和妇科感染,Disease,Disease,产科和妇科感染,产科和妇科感染,产科和妇科感染,structured,1,{}
Disease::产酶菌感染,Disease,Disease,产酶菌感染,产酶菌感染,产酶菌感染,pdf,1,{}
Disease::产青霉素酶葡萄球菌感染,Disease,Disease,产青霉素酶葡萄球菌感染,产青霉素酶葡萄球菌感染,产青霉素酶葡萄球菌感染,structured,1,{}
Disease::亨廷顿舞蹈病,Disease,Disease,亨廷顿舞蹈病,亨廷顿舞蹈病,亨廷顿舞蹈病,pdf,1,{}
Disease::人工心脏瓣膜置换术后静脉血栓,Disease,Disease,人工心脏瓣膜置换术后静脉血栓,人工心脏瓣膜置换术后静脉血栓,人工心脏瓣膜置换术后静脉血栓,pdf,2,{}
Disease::人工机械瓣,Disease,Disease,人工机械瓣,人工机械瓣,人工机械瓣,unstructured,1,{}
Disease::人工瓣膜置换术,Disease,Disease,人工瓣膜置换术,人工瓣膜置换术,人工瓣膜置换术,pdf,1,{}
Disease::人工瓣膜置换术后,Disease,Disease,人工瓣膜置换术后,人工瓣膜置换术后,人工瓣膜置换术后,pdf,1,{}
Disease::人格障碍,Disease,Disease,人格障碍,人格障碍,人格障碍,unstructured,1,{}
Disease::人类免疫缺陷病毒感染,Disease,Disease,人类免疫缺陷病毒感染,人类免疫缺陷病毒感染,人类免疫缺陷病毒感染,pdf,2,{}
Disease::仔猪下痢,Disease,Disease,仔猪下痢,仔猪下痢,仔猪下痢,unstructured,4,{}
Disease::仔猪副伤寒,Disease,Disease,仔猪副伤寒,仔猪副伤寒,仔猪副伤寒,unstructured,1,{}
Disease::仔猪白痢,Disease,Disease,仔猪白痢,仔猪白痢,仔猪白痢,unstructured,3,{}
Disease::仔猪黄痢,Disease,Disease,仔猪黄痢,仔猪黄痢,仔猪黄痢,unstructured,6,{}
Disease::仔猪黄白痢,Disease,Disease,仔猪黄白痢,仔猪黄白痢,仔猪黄白痢,unstructured,4,{}
Disease::代谢性疾病,Disease,Disease,代谢性疾病,代谢性疾病,代谢性疾病,pdf,1,{}
Disease::代谢性胃肠道功能障碍,Disease,Disease,代谢性胃肠道功能障碍,代谢性胃肠道功能障碍,代谢性胃肠道功能障碍,structured,1,{}
Disease::代谢性酸中毒,Disease,Disease,代谢性酸中毒,代谢性酸中毒,代谢性酸中毒,structured,2,{}
Disease::代谢紊乱性疾病,Disease,Disease,代谢紊乱性疾病,代谢紊乱性疾病,代谢紊乱性疾病,pdf,1,{}
Disease::代谢综合征,Disease,Disease,代谢综合征,代谢综合征,代谢综合征,pdf,1,{}
Disease::伊马替尼耐药的慢性粒细胞白血病,Disease,Disease,伊马替尼耐药的慢性粒细胞白血病,伊马替尼耐药的慢性粒细胞白血病,伊马替尼耐药的CML|伊马替尼耐药的慢性粒细胞白血病,pdf,1,{}
Disease::伊马替尼耐药的胃肠道间质瘤,Disease,Disease,伊马替尼耐药的胃肠道间质瘤,伊马替尼耐药的胃肠道间质瘤,伊马替尼耐药的胃肠道间质瘤,pdf,1,{}
Disease::休克,Disease,Disease,休克,休克,休克,pdf|structured,3,{}
Disease::休克综合征,Disease,Disease,休克综合征,休克综合征,休克综合征,structured,1,{}
Disease::传导障碍,Disease,Disease,传导障碍,传导障碍,传导障碍,pdf,1,{}
Disease::传染性单核细胞增多症,Disease,Disease,传染性单核细胞增多症,传染性单核细胞增多症,传染性单核细胞增多症,pdf|structured,4,{}
Disease::传染性疾病,Disease,Disease,传染性疾病,传染性疾病,传染性疾病|急、慢性传染性疾病,structured,1,{}
Disease::传染性肝炎,Disease,Disease,传染性肝炎,传染性肝炎,传染性肝炎,structured,1,{}
Disease::伤口感染,Disease,Disease,伤口感染,伤口感染,伤口感染,structured,1,{}
Disease::伤寒,Disease,Disease,伤寒,伤寒,伤寒,pdf|structured|unstructured,12,{}
Disease::伤寒沙门菌感染,Disease,Disease,伤寒沙门菌感染,伤寒沙门菌感染,伤寒沙门菌感染,structured,3,{}
Disease::伤风,Disease,Disease,伤风,伤风,伤风,structured,3,{}
Disease::伦格综合征,Disease,Disease,伦-格综合征,伦格综合征,伦-格综合征,pdf,2,{}
Disease::伪膜性肠炎,Disease,Disease,伪膜性肠炎,伪膜性肠炎,伪膜性肠炎,structured,3,{}
Disease::伴有支气管反应性增高的急性支气管炎,Disease,Disease,伴有支气管反应性增高的急性支气管炎,伴有支气管反应性增高的急性支气管炎,伴有支气管反应性增高的急性支气管炎,structured,1,{}
Disease::伴有支气管痉挛的呼吸道疾病,Disease,Disease,伴有支气管痉挛的呼吸道疾病,伴有支气管痉挛的呼吸道疾病,伴有支气管痉挛的呼吸道疾病,structured,1,{}
